Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line or Strain]	Term Source 2 REF	Term Source 2 Accession	Protein	Abbreviation	Protein sequence (aa)	UniProt	Addgene ID	Subcellular	Reagent Design Gene Annotation Build	Gene Identifier	Gene Symbol	Analysis Gene Annotation Build	Gene Annotation Comments	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
# the name of the plate (should be the same as the name of the directory containing the image files)	"# the well location e.g. A1, A2, A3, etc"	# if preferred well numbers 1 to 96 or 1 to 384 can be used instead of well locations	Mus musculus	NCBITaxon	# leave blank	NMuMG	EFO	# leave blank						localization	"# the genome assembly and gene annotation build used for designing the reagents i.e. siRNAs. E.g. GRCh37, Ensembl release 61, Feb 2011"	# the identifier for the gene	# the symbol for the gene	"# the genome assembly and gene annotation build that the reagents were mapped to for this analysis E.g. GRCh37, Ensembl release 61, Feb 2011"	# any comments about the annotation e.g.  'siRNA did not map to any transcripts'	"# if the well is a control then choose from: positive control, negative control, empty well.  If it is not a control then leave blank."	"# any additional information about the control can be entered here e.g. 'checks for transfection', 'gives strong phenotype'"	# enter any quality control information here.  This can be 'pass/fail' or other information such as 'no cells'	# if you used 'pass/fail' in the Quality Control column and want to give more information then enter it here	"# the fluorophores and what they are labeling, e.g. Alexa 488:tubulin;Hoechst:DNA;Tritc:actin"	# enter any other general information here
20130208_TA_VAMP1_deg__Meas_01	A3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	B3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	C3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	D3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	E3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	F3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	G3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	H3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	I3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	J3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	K3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	L3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	M3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	N3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	O3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130208_TA_VAMP1_deg__Meas_01	P3		Mus musculus			NMuMG			Golgin84	Golgin84	674-731	Q8TBA6	133028	Golgi apparatus										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	A18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
