Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line or Strain]	Term Source 2 REF	Term Source 2 Accession	Protein	Abbreviation	Protein sequence (aa)	UniProt	Addgene ID	Subcellular	Reagent Design Gene Annotation Build	Gene Identifier	Gene Symbol	Analysis Gene Annotation Build	Gene Annotation Comments	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
20130916_Landmark-PSS1__Meas_01	A19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	A20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	A21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	A22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	A23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	B18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	B19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	B20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	B21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	B22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	B23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	C18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	C19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	C20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	C21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	C22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	C23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	D18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	D19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	D20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	D21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	D22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	D23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	E18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	E19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	E20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	E21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	E22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	E23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	F18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	F19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	F20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	F21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	F22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	F23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	G18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	G19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	G20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	G21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	G22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	G23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	H18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	H19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	H20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	H21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	H22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	H23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	I18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	I19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	I20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	I21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	I22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	I23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	J18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	J19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	J20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	J21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	J22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	J23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	K18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	K19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	K20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	K21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	K22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	K23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	L18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	L19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	L20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	L21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	L22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	L23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	M18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	M19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	M20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	M21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	M22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	M23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	N18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	N19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	N20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	N21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	N22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	N23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	O18		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	O19		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	O20		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	O21		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	O22		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
20130916_Landmark-PSS1__Meas_01	O23		Mus musculus			NMuMG			Phosphatidylserine synthase-1	PTDSS1	1-473	Q99LH2	134667	"mitochondria-associated ER-membrane, endoplasmic reticulum"										"EGFP (protein of interest), DRAQ5 (DNA)"	
